code=409 body={'acronym': 'UQ', 'city': 'Brisbane', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1909, 'geonames_city_id': 2174003, 'grid_id': 'grid.1003.2', 'lat': -27.495964, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.uq.edu.au/', 'lng': 153.009627, 'name': 'University of Queensland', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.416100.2', 'relationship_type': 'Related', 'state': 'Queensland', 'state_code': 'AU-QLD', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_Queensland', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1003.2'}
code=409 body={'acronym': 'UQ', 'city': 'Brisbane', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1909, 'geonames_city_id': 2174003, 'grid_id': 'grid.1003.2', 'lat': -27.495964, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.uq.edu.au/', 'lng': 153.009627, 'name': 'University of Queensland', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.412744.0', 'relationship_type': 'Related', 'state': 'Queensland', 'state_code': 'AU-QLD', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_Queensland', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1003.2'}
code=409 body={'acronym': 'UQ', 'city': 'Brisbane', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1909, 'geonames_city_id': 2174003, 'grid_id': 'grid.1003.2', 'lat': -27.495964, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.uq.edu.au/', 'lng': 153.009627, 'name': 'University of Queensland', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.240416.5', 'relationship_type': 'Related', 'state': 'Queensland', 'state_code': 'AU-QLD', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_Queensland', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1003.2'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.418393.4', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.413950.a', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.432149.9', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.460744.5', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.429098.e', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.250407.4', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
code=409 body={'acronym': 'UNSW', 'city': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1949, 'geonames_city_id': 2147714, 'grid_id': 'grid.1005.4', 'lat': -33.917731, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'https://www.unsw.edu.au/', 'lng': 151.230964, 'name': 'UNSW Sydney', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.415193.b', 'relationship_type': 'Related', 'state': 'New South Wales', 'state_code': 'AU-NSW', 'wikipedia_url': 'http://en.wikipedia.org/wiki/University_of_New_South_Wales', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1005.4'}
