grid_id,acronym
grid.1001.0,ANU
grid.1003.2,UQ
grid.1005.4,UNSW
grid.1007.6,UOW
grid.1009.8,UTAS
grid.1011.1,JCU
grid.1012.2,UWA
grid.1013.3,USYD
grid.1016.6,CSIRO
grid.1017.7,RMIT
grid.1019.9,VU
grid.1020.3,UNE
grid.5333.6,EPFL
