grid_id,link
grid.1001.0,http://www.anu.edu.au/
grid.1002.3,http://www.monash.edu/
grid.1003.2,http://www.uq.edu.au/
grid.1004.5,http://mq.edu.au/
grid.1005.4,https://www.unsw.edu.au/
grid.1006.7,http://www.ncl.ac.uk/
grid.1007.6,https://www.uow.edu.au/index.html
grid.1008.9,http://www.unimelb.edu.au/
grid.1009.8,http://www.utas.edu.au/
grid.1010.0,http://www.adelaide.edu.au/
grid.1011.1,http://www.jcu.edu.au/
grid.1012.2,http://www.uwa.edu.au/
grid.1013.3,http://sydney.edu.au/
grid.1014.4,http://www.flinders.edu.au/
grid.1016.6,http://www.csiro.au/
grid.1017.7,https://www.rmit.edu.au/
grid.1018.8,http://www.latrobe.edu.au/
grid.1019.9,http://www.vu.edu.au/
grid.1020.3,http://www.une.edu.au/
grid.1021.2,http://www.deakin.edu.au/
grid.5333.6,http://www.epfl.ch/index.en.html
grid.417881.3,http://alleninstitute.org/
